DATA,HORA,NUMERO,NOME,MATERIAL,DESCRICAO,TAMANHO,QUANTIDADE,VLR_UNIT,DIA,MES,ANO
12.01.2016,14:54,11.0,VERBO DIVINO,1121.0,CAMISETA MANGA CURTA,00,7.0,35.5,12.0,1.0,2016.0
12.01.2016,15:08,15.0,VERBO DIVINO,198437.0,BERMUDA CICLISTA COTTON,08,1.0,51.0,12.0,1.0,2016.0
12.01.2016,15:08,15.0,VERBO DIVINO,27227.0,CAMISETA MANGA CURTA,PP,5.0,37.5,12.0,1.0,2016.0
12.01.2016,15:27,16.0,VERBO DIVINO,157429.0,BLUSA MOLETOM FLANELADA,M,1.0,115.0,12.0,1.0,2016.0
12.01.2016,15:27,16.0,VERBO DIVINO,27228.0,CAMISETA MANGA CURTA,P,5.0,37.5,12.0,1.0,2016.0
12.01.2016,15:27,16.0,VERBO DIVINO,337331.0,CALÇA SARJA MASC,GG,1.0,116.0,12.0,1.0,2016.0
12.01.2016,15:41,17.0,ACLIMAÇÃO,247428.0,CORSARIO SUPLEX,P,2.0,64.0,12.0,1.0,2016.0
12.01.2016,15:41,17.0,ACLIMAÇÃO,27228.0,CAMISETA MANGA CURTA,P,6.0,37.5,12.0,1.0,2016.0
12.01.2016,15:41,17.0,ACLIMAÇÃO,316323.0,CALÇA DE MOLETOM COLEGIAL FEMININA,P,1.0,84.0,12.0,1.0,2016.0
12.01.2016,15:41,17.0,ACLIMAÇÃO,67428.0,BLUSA DE MOLETOM LISO,P,1.0,113.0,12.0,1.0,2016.0
12.01.2016,15:46,18.0,VERBO DIVINO,287330.0,BLUSÃO COLEGIAL LISO ,G,1.0,111.0,12.0,1.0,2016.0
12.01.2016,15:46,18.0,VERBO DIVINO,337329.0,CALÇA SARJA MASC,M,2.0,116.0,12.0,1.0,2016.0
12.01.2016,15:46,18.0,VERBO DIVINO,357229.0,JALECO,M,1.0,54.0,12.0,1.0,2016.0
12.01.2016,15:46,18.0,VERBO DIVINO,367230.0,CAMISETA COLEGIAL MASCULINA,G,3.0,37.5,12.0,1.0,2016.0
12.01.2016,15:56,19.0,ACLIMAÇÃO,11143.0,BERMUDA DE MOLETOM,04,2.0,54.0,12.0,1.0,2016.0
12.01.2016,15:56,19.0,ACLIMAÇÃO,1123.0,CAMISETA MANGA CURTA,04,3.0,35.5,12.0,1.0,2016.0
12.01.2016,15:56,19.0,ACLIMAÇÃO,3123.0,REGATA,04,2.0,26.5,12.0,1.0,2016.0
12.01.2016,16:07,23.0,ACLIMAÇÃO,106424.0,CALÇA MOLETOM UNIS.,M,1.0,84.0,12.0,1.0,2016.0
12.01.2016,16:07,23.0,ACLIMAÇÃO,1121.0,CAMISETA MANGA CURTA,00,5.0,35.5,12.0,1.0,2016.0
