DATA;HORA;NUMERO;NOME;MATERIAL;DESCRICAO;TAMANHO;QUANTIDADE;VLR_UNIT
12.01.2016;14:54;11;VERBO DIVINO;1121;CAMISETA 1/2 MALHA MC U REF. MC1;00;7,000;35,50
12.01.2016;15:08;15;VERBO DIVINO;198437;BERMUDA CICL COTTON U REF: BER COTTON;08;1,000;51,00
12.01.2016;15:08;15;VERBO DIVINO;27227;CAMISETA 1/2 MALHA MC U REF: MC2;PP;5,000;37,50
12.01.2016;15:27;16;VERBO DIVINO;157429;BLUSÃO MOL CANG COM FLAN U REF: BL 2  FLAN;M;1,000;115,00
12.01.2016;15:27;16;VERBO DIVINO;27228;CAMISETA 1/2 MALHA MC U REF: MC2;P;5,000;37,50
12.01.2016;15:27;16;VERBO DIVINO;337331;CALÇA SARJA M REF: CL SARJA;GG;1,000;116,00
12.01.2016;15:41;17;ACLIMAÇÃO;247428;CALÇA FUSEAU CORSÁRIO U SUP REF: CL SUP2;P;2,000;64,00
12.01.2016;15:41;17;ACLIMAÇÃO;27228;CAMISETA 1/2 MALHA MC U REF: MC2;P;6,000;37,50
12.01.2016;15:41;17;ACLIMAÇÃO;316323;CALÇA MOL SEM FLAN F REF: CLMLF COL;P;1,000;84,00
12.01.2016;15:41;17;ACLIMAÇÃO;67428;BLUSÃO MOL CANG SEM FLAN U REF: BL 2 LISO;P;1,000;113,00
12.01.2016;15:46;18;VERBO DIVINO;287330;BLUSÃO COL SEM FLAN U ZIPER REF: BLCL;G;1,000;111,00
12.01.2016;15:46;18;VERBO DIVINO;337329;CALÇA SARJA M REF: CL SARJA;M;2,000;116,00
12.01.2016;15:46;18;VERBO DIVINO;357229;JALECO U REF: JAL;M;1,000;54,00
12.01.2016;15:46;18;VERBO DIVINO;367230;CAMISETA COLEGIAL M REF: MC MASC;G;3,000;37,50
12.01.2016;15:56;19;ACLIMAÇÃO;11143;BERMUDA MOL SEM FLAN U REF: BER MOL 1;04;2,000;54,00
12.01.2016;15:56;19;ACLIMAÇÃO;1123;CAMISETA 1/2 MALHA MC U REF. MC1;04;3,000;35,50
12.01.2016;15:56;19;ACLIMAÇÃO;3123;REGATA 1/2 MALHA U REF: REG;04;2,000;26,50
12.01.2016;16:07;23;ACLIMAÇÃO;106424;CALÇA MOL SEM FLAN M REF: CMLM2;M;1,000;84,00
12.01.2016;16:07;23;ACLIMAÇÃO;1121;CAMISETA 1/2 MALHA MC U REF. MC1;00;5,000;35,50
12.01.2016;16:07;23;ACLIMAÇÃO;127428;BERMUDA MOL SEM FLAN U REF: BER MOL 2;P;2,000;59,00
12.01.2016;16:07;23;ACLIMAÇÃO;198434;BERMUDA CICL COTTON U REF: BER COTTON;02;2,000;51,00
12.01.2016;16:07;23;ACLIMAÇÃO;228434;CALÇA FUSEAU CORSÁRIO U REF: CL COR;02;1,000;59,00
12.01.2016;16:07;23;ACLIMAÇÃO;247428;CALÇA FUSEAU CORSÁRIO U SUP REF: CL SUP2;P;2,000;64,00
12.01.2016;16:07;23;ACLIMAÇÃO;254414;SHORTS SAIA F REF: SH SAIA;00;2,000;55,00
12.01.2016;16:07;23;ACLIMAÇÃO;27229;CAMISETA 1/2 MALHA MC U REF: MC2;M;5,000;37,50
12.01.2016;16:07;23;ACLIMAÇÃO;3121;REGATA 1/2 MALHA U REF: REG;00;1,000;26,50
12.01.2016;16:07;23;ACLIMAÇÃO;357229;JALECO U REF: JAL;M;1,000;54,00
12.01.2016;16:07;23;ACLIMAÇÃO;4121;CAMISETA 1/2 MALHA  ML U REF: ML;00;2,000;37,50
12.01.2016;16:07;23;ACLIMAÇÃO;4127;CAMISETA 1/2 MALHA  ML U REF: ML;12;2,000;37,50
